archive,complete,missing_universes,matched_pdfs
indices_dataApr2021.zip,True,,NIFTY_100=NIFTY_100_Apr2021.pdf;NIFTY_MIDCAP_100=NIFTY_Midcap_100_Apr2021.pdf;NIFTY_SMALLCAP_100=NIFTY_Smallcap_100_Apr2021.pdf
indices_dataApr2022.zip,False,NIFTY_100;NIFTY_MIDCAP_100;NIFTY_SMALLCAP_100,
indices_dataApr2023.zip,False,NIFTY_100;NIFTY_MIDCAP_100;NIFTY_SMALLCAP_100,
indices_dataApr2024.zip,False,NIFTY_100;NIFTY_MIDCAP_100;NIFTY_SMALLCAP_100,
indices_dataApr2025.zip,False,NIFTY_100;NIFTY_MIDCAP_100;NIFTY_SMALLCAP_100,
indices_dataAug2021.zip,True,,NIFTY_100=NIFTY_100_Aug2021.pdf;NIFTY_MIDCAP_100=NIFTY_Midcap_100_Aug2021.pdf;NIFTY_SMALLCAP_100=NIFTY_Smallcap_100_Aug2021.pdf
indices_dataAug2022.zip,False,NIFTY_100;NIFTY_MIDCAP_100;NIFTY_SMALLCAP_100,
indices_dataAug2023.zip,False,NIFTY_100;NIFTY_MIDCAP_100;NIFTY_SMALLCAP_100,
indices_dataAug2024.zip,False,NIFTY_100;NIFTY_MIDCAP_100;NIFTY_SMALLCAP_100,
indices_dataAug2025.zip,False,NIFTY_100;NIFTY_MIDCAP_100;NIFTY_SMALLCAP_100,
indices_dataDec2020.zip,True,,NIFTY_100=NIFTY_100_Dec2020.pdf;NIFTY_MIDCAP_100=NIFTY_Midcap_100_Dec2020.pdf;NIFTY_SMALLCAP_100=NIFTY_Smallcap_100_Dec2020.pdf
indices_dataDec2021.zip,True,,NIFTY_100=NIFTY_100_Dec2021.pdf;NIFTY_MIDCAP_100=NIFTY_Midcap_100_Dec2021.pdf;NIFTY_SMALLCAP_100=NIFTY_Smallcap_100_Dec2021.pdf
indices_dataDec2022.zip,False,NIFTY_100;NIFTY_MIDCAP_100;NIFTY_SMALLCAP_100,
indices_dataDec2023.zip,False,NIFTY_100;NIFTY_MIDCAP_100;NIFTY_SMALLCAP_100,
indices_dataDec2024.zip,False,NIFTY_100;NIFTY_MIDCAP_100;NIFTY_SMALLCAP_100,
indices_dataDec2025.zip,False,NIFTY_100;NIFTY_MIDCAP_100;NIFTY_SMALLCAP_100,
indices_dataFeb2021.zip,True,,NIFTY_100=NIFTY_100_Feb2021.pdf;NIFTY_MIDCAP_100=NIFTY_Midcap_100_Feb2021.pdf;NIFTY_SMALLCAP_100=NIFTY_Smallcap_100_Feb2021.pdf
indices_dataFeb2022.zip,True,,NIFTY_100=NIFTY_100_Feb2022.pdf;NIFTY_MIDCAP_100=NIFTY_Midcap_100_Feb2022.pdf;NIFTY_SMALLCAP_100=NIFTY_Smallcap_100_Feb2022.pdf
indices_dataFeb2023.zip,False,NIFTY_100;NIFTY_MIDCAP_100;NIFTY_SMALLCAP_100,
indices_dataFeb2024.zip,False,NIFTY_100;NIFTY_MIDCAP_100;NIFTY_SMALLCAP_100,
indices_dataFeb2025.zip,False,NIFTY_100;NIFTY_MIDCAP_100;NIFTY_SMALLCAP_100,
indices_dataJan2021.zip,True,,NIFTY_100=NIFTY_100_Jan2021.pdf;NIFTY_MIDCAP_100=NIFTY_Midcap_100_Jan2021.pdf;NIFTY_SMALLCAP_100=NIFTY_Smallcap_100_Jan2021.pdf
indices_dataJan2022.zip,True,,NIFTY_100=NIFTY_100_Jan2022.pdf;NIFTY_MIDCAP_100=NIFTY_Midcap_100_Jan2022.pdf;NIFTY_SMALLCAP_100=NIFTY_Smallcap_100_Jan2022.pdf
