effective_date,universe,action,ticker,source_url,notes
2022-04-12,NIFTY_SMALLCAP_100,REMOVE,BEML,https://www.niftyindices.com/Press_Release/ind_prs05042022_1.pdf,official notice
2022-04-12,NIFTY_SMALLCAP_100,ADD,BSE,https://www.niftyindices.com/Press_Release/ind_prs05042022_1.pdf,official notice
2022-05-04,NIFTY_MIDCAP_100,REMOVE,AARTIIND,https://www.niftyindices.com/Press_Release/ind_prs05042022.pdf,official notice
2022-05-04,NIFTY_MIDCAP_100,ADD,HONAUT,https://www.niftyindices.com/Press_Release/ind_prs05042022.pdf,official notice
2022-08-08,NIFTY_100,REMOVE,NMDC,https://www.niftyindices.com/Press_Release/ind_prs11072022.pdf,official notice
2022-08-08,NIFTY_100,REMOVE,PEL,https://www.niftyindices.com/Press_Release/ind_prs11072022.pdf,official notice
2022-08-08,NIFTY_100,ADD,LICI,https://www.niftyindices.com/Press_Release/ind_prs11072022.pdf,official notice
2022-08-08,NIFTY_100,ADD,TATAPOWER,https://www.niftyindices.com/Press_Release/ind_prs11072022.pdf,official notice
2022-08-08,NIFTY_MIDCAP_100,REMOVE,TATAPOWER,https://www.niftyindices.com/Press_Release/ind_prs11072022.pdf,official notice
2022-08-08,NIFTY_MIDCAP_100,ADD,DELHIVERY,https://www.niftyindices.com/Press_Release/ind_prs11072022.pdf,official notice
2022-09-30,NIFTY_100,REMOVE,JUBLFOOD,https://www.niftyindices.com/Press_Release/ind_prs01092022.pdf,official notice
2022-09-30,NIFTY_100,REMOVE,LUPIN,https://www.niftyindices.com/Press_Release/ind_prs01092022.pdf,official notice
2022-09-30,NIFTY_100,REMOVE,MINDTREE,https://www.niftyindices.com/Press_Release/ind_prs01092022.pdf,official notice
2022-09-30,NIFTY_100,REMOVE,PNB,https://www.niftyindices.com/Press_Release/ind_prs01092022.pdf,official notice
2022-09-30,NIFTY_100,REMOVE,SAIL,https://www.niftyindices.com/Press_Release/ind_prs01092022.pdf,official notice
2022-09-30,NIFTY_100,REMOVE,ZYDUSLIFE,https://www.niftyindices.com/Press_Release/ind_prs01092022.pdf,official notice
2022-09-30,NIFTY_100,ADD,ATGL,https://www.niftyindices.com/Press_Release/ind_prs01092022.pdf,official notice
2022-09-30,NIFTY_100,ADD,BEL,https://www.niftyindices.com/Press_Release/ind_prs01092022.pdf,official notice
2022-09-30,NIFTY_100,ADD,HAL,https://www.niftyindices.com/Press_Release/ind_prs01092022.pdf,official notice
2022-09-30,NIFTY_100,ADD,IRCTC,https://www.niftyindices.com/Press_Release/ind_prs01092022.pdf,official notice
2022-09-30,NIFTY_100,ADD,MPHASIS,https://www.niftyindices.com/Press_Release/ind_prs01092022.pdf,official notice
2022-09-30,NIFTY_100,ADD,MOTHERSON,https://www.niftyindices.com/Press_Release/ind_prs01092022.pdf,official notice
2022-09-30,NIFTY_MIDCAP_100,REMOVE,ATGL,https://www.niftyindices.com/Press_Release/ind_prs01092022.pdf,official notice
2022-09-30,NIFTY_MIDCAP_100,REMOVE,APLLTD,https://www.niftyindices.com/Press_Release/ind_prs01092022.pdf,official notice
2022-09-30,NIFTY_MIDCAP_100,REMOVE,APOLLOTYRE,https://www.niftyindices.com/Press_Release/ind_prs01092022.pdf,official notice
2022-09-30,NIFTY_MIDCAP_100,REMOVE,BEL,https://www.niftyindices.com/Press_Release/ind_prs01092022.pdf,official notice
2022-09-30,NIFTY_MIDCAP_100,REMOVE,EXIDEIND,https://www.niftyindices.com/Press_Release/ind_prs01092022.pdf,official notice
